DC-51-93; DC5193; zte corporation; 12/F.,zte R&D building ,kejinan Road,Shenzhen,P.R.China; 518057; CN
BC-FD-0C; BCFD0C; Shenzhen Phaten Tech. LTD; C-6 ideamonto industril 7002 Songbai Road Guangming District Shenzhen City Guangdong, China; 518108; CN
18-65-C7; 1865C7; Dongguan YIMO Technology Co.LTD; No.67, Qingxi Section, Qingzhang Road, Qingxi Town, Dongguan City, Guangdong Province; 523660; CN
30-7A-57; 307A57; Accuenergy (CANADA) Inc; 22 Howden Rd; 3E4; CA
74-78-A6; 7478A6; Fortinet, Inc.; 899 Kifer Road; 94086; US
00-19-82; 001982; SmarDTV Corporation; 147 Avenue du Jujubier; 13600; CH
50-FE-0C; 50FE0C; AzureWave Technology Inc.; 8F., No. 94, Baozhong Rd.; 231; TW
AC-D7-5B; ACD75B; Sagemcom Broadband SAS; 250, route de l'Empereur; 92848; FR
B4-C2-E0; B4C2E0; Bouffalo Lab (Nanjing) Co., Ltd.; 5F, Gongxiang Space, No.100 Tuanjie Road, Nanjing, China; 211800; CN
04-09-86; 040986; Arcadyan Corporation; No.8, Sec.2, Guangfu Rd.; 30071; TW
0C-01-C8; 0C01C8; DENSO Co.,Ltd; Twin21 MIDTower(24th floor),2-1-61; 540-6124; JP
F4-2E-48; F42E48; zte corporation; 12/F.,zte R&D building ,kejinan Road,Shenzhen,P.R.China; 518057; CN
F8-D2-AC; F8D2AC; Vantiva USA LLC; 4855 Peachtree Industrial Blvd, Suite 20; 30902; US
CC-F3-C8; CCF3C8; Vantiva USA LLC; 5030 Sugarloaf Parkway Bldg 6; 30044; US
60-FD-A6; 60FDA6; Apple, Inc.; 1 Infinite Loop; 95014; US
80-A9-97; 80A997; Apple, Inc.; 1 Infinite Loop; 95014; US
34-8C-5E; 348C5E; Apple, Inc.; 1 Infinite Loop; 95014; US
F0-EE-7A; F0EE7A; Apple, Inc.; 1 Infinite Loop; 95014; US
20-3A-EB; 203AEB; zte corporation; 12/F.,zte R&D building ,kejinan Road,Shenzhen,P.R.China; 518057; CN
58-76-B3; 5876B3; Ubee Interactive Co., Limited; Flat/RM 1202, 12/F, AT Tower, 180 Electric Road; 00000; HK
E8-70-72; E87072; Hangzhou BroadLink Technology Co.,Ltd; Room 101,1/F,Unit C,Building 1,No.57 Jiang'er Road,Changhe Street,Binjiang District,Hangzhou,Zhejiang,P.R.China; 310052; CN
40-F3-B0; 40F3B0; Texas Instruments; 12500 TI Blvd; 75243; US
14-9C-EF; 149CEF; Texas Instruments; 12500 TI Blvd; 75243; US
14-98-7D; 14987D; Vantiva USA LLC; 5030 Sugarloaf Parkway Bldg 6; 30044; US
58-23-8C; 58238C; Vantiva USA LLC; 5030 Sugarloaf Parkway Bldg 6; 30044; US
80-B2-34; 80B234; Vantiva USA LLC; 5030 Sugarloaf Parkway Bldg 6; 30044; US
84-17-EF; 8417EF; Vantiva USA LLC; 5030 Sugarloaf Parkway Bldg 6; 30044; US
A4-56-CC; A456CC; Vantiva USA LLC; 5030 Sugarloaf Parkway Bldg 6; 30044; US
70-03-7E; 70037E; Vantiva USA LLC; 5030 Sugarloaf Parkway Bldg 6; 30044; US
44-1C-12; 441C12; Vantiva USA LLC; 5030 Sugarloaf Parkway Bldg 6; 30044; US
48-1B-A4; 481BA4; Cisco Systems, Inc; 80 West Tasman Drive; 94568; US
58-AD-12; 58AD12; Apple, Inc.; 1 Infinite Loop; 95014; US
80-C4-1B; 80C41B; Texas Instruments; 12500 TI Blvd; 75243; US
34-68-B5; 3468B5; Texas Instruments; 12500 TI Blvd; 75243; US
D0-B2-C4; D0B2C4; Vantiva USA LLC; 5030 Sugarloaf Parkway Bldg 6; 30044; US
80-C6-AB; 80C6AB; Vantiva USA LLC; 5030 Sugarloaf Parkway Bldg 6; 30044; US
CC-03-FA; CC03FA; Vantiva USA LLC; 5030 Sugarloaf Parkway Bldg 6; 30044; US
48-F7-C0; 48F7C0; Vantiva USA LLC; 5030 Sugarloaf Parkway Bldg 6; 30044; US
48-00-33; 480033; Vantiva USA LLC; 5030 Sugarloaf Parkway Bldg 6; 30044; US
5C-76-95; 5C7695; Vantiva USA LLC; 5030 Sugarloaf Parkway Bldg 6; 30044; US
38-3F-B3; 383FB3; Vantiva USA LLC; 5030 Sugarloaf Parkway Bldg 6; 30044; US
64-12-36; 641236; Vantiva USA LLC; 5030 Sugarloaf Parkway Bldg 6; 30044; US
AC-4C-A5; AC4CA5; Vantiva USA LLC; 4855 Peachtree Industrial Blvd, Suite 20; 30902; US
00-CB-7A; 00CB7A; Vantiva USA LLC; 4855 Peachtree Industrial Blvd, Suite 20; 30902; US
B8-A7-5E; B8A75E; Wuxi Xinjie Electric Co.,Ltd; No.9 Liu Tang Road, Hu Tai Industrial Park, Binhu District,; 320200; CN
8C-53-E6; 8C53E6; Wistron Neweb Corporation; No.20,Park Avenue II,Hsinchu Science Park; 308; TW
34-5E-08; 345E08; Roku, Inc; 1155 Coleman Ave; 95110; US
D8-77-66; D87766; Nurivoice Co., Ltd; NURI Bld, 16 Sapyeong-daero; 06552; KR
70-81-85; 708185; New H3C Technologies Co., Ltd; 466 Changhe Road, Binjiang District; 310052; CN
0C-75-D2; 0C75D2; Hangzhou Hikvision Digital Technology Co.,Ltd.; No.555 Qianmo Road; 310052; CN
D8-DA-F1; D8DAF1; HUAWEI TECHNOLOGIES CO.,LTD; No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park; 523808; CN
54-44-3B; 54443B; HUAWEI TECHNOLOGIES CO.,LTD; No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park; 523808; CN
5C-70-75; 5C7075; HUAWEI TECHNOLOGIES CO.,LTD; No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park; 523808; CN
C0-E9-11; C0E911; RealNetworks; 1501 1st Ave S., #600; 98134; US
8C-3B-4A; 8C3B4A; Universal Global Scientific Industrial Co., Ltd.; 141, Lane 351, Taiping Road, Sec.1,Tsao Tuen; 54261; TW
50-D3-3B; 50D33B; cloudnineinfo; xiaoshan Wujin load #19; 311258; CN
84-C8-A0; 84C8A0; Hui Zhou Gaoshengda Technology Co.,LTD; No.2,Jin-da Road,Huinan Industrial Park; 516025; CN
58-C4-1E; 58C41E; IEEE Registration Authority; 445 Hoes Lane; 08554; US
08-F0-1E; 08F01E; eero inc.; 660 3rd Street; 94107; US
18-A5-FF; 18A5FF; Arcadyan Corporation; No.8, Sec.2, Guangfu Rd.; 30071; TW
